"enrol_id","foe_code","eftsl","student_contribution","commonwealth_contribution","tuition_amount","enrol_unit"
"81188","010301","0.375","3355.50","6859.50","10215.00",3
"81189","010905","0.125","1118.50","2286.50","3405.00",1
"81190","091505","0.125","555.63","2286.50","2842.13",1
"81191","091901","1.875","30605.63","2317.50","32923.13",15
"81192","010100","0.500","2222.50","7457.50","9680.00",4
"81193","029999","1.000","8948.00","14915.00","23863.00",8
"81194","050100","0.250","1111.25","7598.75","8710.00",2
"81195","061300","0.500","4474.00","7457.50","11931.50",4
"81196","090900","0.250","4080.75","309.00","4389.75",2
"81197","090311","0.375","6121.13","463.50","6584.63",3
"81198","100101","0.250","2237.00","3728.75","5965.75",2
"81199","091505","1.000","4445.00","18292.00","22737.00",8
"81200","010909","0.125","1118.50","2286.50","3405.00",1
"81201","091103","0.500","8161.50","618.00","8779.50",4
"81202","010911","0.125","1118.50","2286.50","3405.00",1
"81203","100101","0.250","2237.00","3728.75","5965.75",2
"81204","010301","0.375","3355.50","6859.50","10215.00",3
"81205","090911","0.125","2040.38","154.50","2194.88",1
"81206","091701","0.375","6121.13","463.50","6584.63",3
"81207","091701","0.375","6121.13","463.50","6584.63",3
"81208","019999","0.625","5592.50","11432.50","17025.00",5
"81209","020119","0.375","3355.50","5593.13","8948.63",3
"81210","010500","0.125","1118.50","2286.50","3405.00",1
"81211","091515","0.125","555.63","2286.50","2842.13",1
"81212","020115","0.125","1118.50","1864.38","2982.88",1
"81213","091901","0.500","8161.50","618.00","8779.50",4
"81214","010101","0.875","3889.38","13050.63","16940.00",7
"81215","091523","0.125","555.63","1864.38","2420.00",1
"81216","081101","0.375","6121.13","463.50","6584.63",3
"81217","010301","0.625","5592.50","11432.50","17025.00",5
"81218","090311","0.125","2040.38","154.50","2194.88",1
"81219","091505","0.125","555.63","2286.50","2842.13",1
"81220","010901","0.250","2237.00","4573.00","6810.00",2
"81221","010901","0.250","2237.00","4573.00","6810.00",2
"81222","080505","0.125","2040.38","154.50","2194.88",1
"81223","100101","0.125","1118.50","1864.38","2982.88",1
"81224","091701","0.375","6121.13","463.50","6584.63",3
"81225","010901","0.125","1118.50","2286.50","3405.00",1
