"row_id","course_type_broad_name","funding_group_name","unit_level","unit_primary_foe_code","unit_primary_foe_detailed_name","unit_primary_foe_narrow_name","unit_primary_foe_broad_name","eftsl_2024"
"186","Undergraduate","Domestic - C'wealth Supported","4","010703","Geology","Earth Sciences","Natural And Physical Sciences","0.375"
"187","Undergraduate","Domestic - C'wealth Supported","4","010703","Geology","Earth Sciences","Natural And Physical Sciences","0.125"
"188","Undergraduate","Domestic - C'wealth Supported","4","010703","Geology","Earth Sciences","Natural And Physical Sciences","0.375"
"189","Undergraduate","Domestic - C'wealth Supported","4","010703","Geology","Earth Sciences","Natural And Physical Sciences","0.375"
"190","Undergraduate","Domestic - C'wealth Supported","4","010703","Geology","Earth Sciences","Natural And Physical Sciences","0.250"
"191","Undergraduate","Domestic - C'wealth Supported","4","010101","Mathematics","Mathematical Sciences","Natural And Physical Sciences","0.375"
"192","Undergraduate","Domestic - C'wealth Supported","4","010101","Mathematics","Mathematical Sciences","Natural And Physical Sciences","0.250"
"193","Undergraduate","Domestic - C'wealth Supported","5","010703","Geology","Earth Sciences","Natural And Physical Sciences","0.250"
"194","Undergraduate","Domestic - C'wealth Supported","4","010101","Mathematics","Mathematical Sciences","Natural And Physical Sciences","2.000"
"195","Undergraduate","Domestic - C'wealth Supported","4","010101","Mathematics","Mathematical Sciences","Natural And Physical Sciences","2.000"
"196","Undergraduate","Domestic - C'wealth Supported","4","010101","Mathematics","Mathematical Sciences","Natural And Physical Sciences","0.250"
"197","Undergraduate","Domestic - C'wealth Supported","4","010101","Mathematics","Mathematical Sciences","Natural And Physical Sciences","0.375"
"198","Undergraduate","Domestic - C'wealth Supported","4","010703","Geology","Earth Sciences","Natural And Physical Sciences","0.125"
"199","Undergraduate","Domestic - C'wealth Supported","4","010101","Mathematics","Mathematical Sciences","Natural And Physical Sciences","0.125"
"200","Undergraduate","Domestic - C'wealth Supported","2","081101","Banking And Finance","Banking, Finance And Related Fields","Management And Commerce","0.125"
"201","Undergraduate","Domestic - C'wealth Supported","4","010301","Physics","Physics And Astronomy","Natural And Physical Sciences","0.375"
"202","Undergraduate","Domestic - C'wealth Supported","3","010500","Chemical Sciences","Chemical Sciences","Natural And Physical Sciences","0.125"
"203","Undergraduate","Domestic - C'wealth Supported","3","010301","Physics","Physics And Astronomy","Natural And Physical Sciences","0.125"
"204","Undergraduate","Domestic - C'wealth Supported","4","010301","Physics","Physics And Astronomy","Natural And Physical Sciences","0.250"
