BROAD Discipline (FOE) ,NARROW Discipline (FOE) ,DETAILED Discipline (FOE) ,Funding Cluster,2024 Maximum Student Contibution,2024 Commonwealth Contribution,"Special Course Type Code for the Course of Study
(E312 of 27)","Maximum student contribution indicator
(E392 =8)",2024 Grandfathered Maximum Student Contibution,2024 Grandfathered Maximum Student Contibution
09 - SOCIETY AND CULTURE,0903 - Studies in Human Society,090311 - Indigenous Studies,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0903 - Studies in Human Society,090313 - Gender Specific Studies,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0903 - Studies in Human Society,"090399 - Studies in Human Society, n.e.c.",Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0909 - Law,090900 - Law,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
09 - SOCIETY AND CULTURE,0909 - Law,090901 - Business and Commercial Law,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
09 - SOCIETY AND CULTURE,0909 - Law,090903 - Constitutional Law,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
09 - SOCIETY AND CULTURE,0909 - Law,090905 - Criminal Law,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
09 - SOCIETY AND CULTURE,0909 - Law,090907 - Family Law,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
09 - SOCIETY AND CULTURE,0909 - Law,090909 - International Law,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
09 - SOCIETY AND CULTURE,0909 - Law,090911 - Taxation Law,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
09 - SOCIETY AND CULTURE,0909 - Law,090913 - Legal Practice,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
09 - SOCIETY AND CULTURE,0909 - Law,"090999 - Law, n.e.c.",Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
09 - SOCIETY AND CULTURE,0911 - Justice and Law Enforcement,091100 - Justice and Law Enforcement,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0911 - Justice and Law Enforcement,091101 - Justice Administration,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0911 - Justice and Law Enforcement,091103 - Legal Studies,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0911 - Justice and Law Enforcement,091105 - Police Studies,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0911 - Justice and Law Enforcement,"091199 - Justice and Law Enforcement, n.e.c.",Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,"0913 - Librarianship, Information Management and Curatorial Studies","091300 - Librarianship, Information Management and Curatorial Studies",Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,"0913 - Librarianship, Information Management and Curatorial Studies",091301 - Librarianship and Information Management,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,"0913 - Librarianship, Information Management and Curatorial Studies",091303 - Curatorial Studies,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0917 - Philosophy and Religious Studies,091700 - Philosophy and Religious Studies,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0917 - Philosophy and Religious Studies,091701 - Philosophy,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0917 - Philosophy and Religious Studies,091703 - Religious Studies,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0919 - Economics and Econometrics,091900 - Economics and Econometrics,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
09 - SOCIETY AND CULTURE,0919 - Economics and Econometrics,091901 - Economics,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
09 - SOCIETY AND CULTURE,0919 - Economics and Econometrics,091903 - Econometrics,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
09 - SOCIETY AND CULTURE,0921 - Sport and Recreation,092100 - Sport and Recreation,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0921 - Sport and Recreation,092101 - Sport and Recreation Activities,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0921 - Sport and Recreation,"092103 - Sports Coaching, Officiating and Instruction",Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0921 - Sport and Recreation,"092199 - Sport and Recreation, n.e.c.",Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0999 - Other Society and Culture,099900 - Other Society and Culture,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0999 - Other Society and Culture,099901 - Family and Consumer Studies,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0999 - Other Society and Culture,099903 - Criminology,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0999 - Other Society and Culture,099905 - Security Services,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1007 - Communication and Media Studies,100700 - Communication and Media Studies,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1007 - Communication and Media Studies,100701 - Audio Visual Studies,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1007 - Communication and Media Studies,100703 - Journalism,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1007 - Communication and Media Studies,100705 - Written Communication,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1007 - Communication and Media Studies,100707 - Verbal Communication,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
10 - CREATIVE ARTS,1007 - Communication and Media Studies,"100799 - Communication and Media Studies, n.e.c.",Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
"11 - FOOD, HOSPITALITY AND PERSONAL SERVICES",1101 - Food and Hospitality,110100 - Food and Hospitality,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
"11 - FOOD, HOSPITALITY AND PERSONAL SERVICES",1101 - Food and Hospitality,110101 - Hospitality,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
"11 - FOOD, HOSPITALITY AND PERSONAL SERVICES",1101 - Food and Hospitality,110103 - Food and Beverage Service,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
"11 - FOOD, HOSPITALITY AND PERSONAL SERVICES",1101 - Food and Hospitality,110105 - Butchery,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
"11 - FOOD, HOSPITALITY AND PERSONAL SERVICES",1101 - Food and Hospitality,110107 - Baking and Pastrymaking,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
"11 - FOOD, HOSPITALITY AND PERSONAL SERVICES",1101 - Food and Hospitality,110109 - Cookery,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
"11 - FOOD, HOSPITALITY AND PERSONAL SERVICES",1101 - Food and Hospitality,110111 - Food Hygiene,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
"11 - FOOD, HOSPITALITY AND PERSONAL SERVICES",1101 - Food and Hospitality,"110199 - Food and Hospitality, n.e.c.",Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
"11 - FOOD, HOSPITALITY AND PERSONAL SERVICES",1103 - Personal Services,110300 - Personal Services,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
"11 - FOOD, HOSPITALITY AND PERSONAL SERVICES",1103 - Personal Services,110301 - Beauty Therapy,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
"11 - FOOD, HOSPITALITY AND PERSONAL SERVICES",1103 - Personal Services,110303 - Hairdressing,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
"11 - FOOD, HOSPITALITY AND PERSONAL SERVICES",1103 - Personal Services,"110399 - Personal Services, n.e.c.",Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
12 - MIXED FIELD PROGRAMMES,1201 - General Education Programmes,120100 - General Education Programmes,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
12 - MIXED FIELD PROGRAMMES,1201 - General Education Programmes,120101 - General Primary and Secondary Education Programmes,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
12 - MIXED FIELD PROGRAMMES,1201 - General Education Programmes,120103 - Literacy and Numeracy Programmes,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
12 - MIXED FIELD PROGRAMMES,1201 - General Education Programmes,120105 - Learning Skills Programmes,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
12 - MIXED FIELD PROGRAMMES,1201 - General Education Programmes,"120199 - General Education Programmes, n.e.c.",Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
12 - MIXED FIELD PROGRAMMES,1203-Social Skills Programs,120300 - Social Skills Programs,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
12 - MIXED FIELD PROGRAMMES,1203-Social Skills Programs,120301 - Social and Interpersonal Skills Programs,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
12 - MIXED FIELD PROGRAMMES,1203-Social Skills Programs,120303 - Survival Skills Programs,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
12 - MIXED FIELD PROGRAMMES,1203-Social Skills Programs,120305 - Parental Education Programs,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
12 - MIXED FIELD PROGRAMMES,1203-Social Skills Programs,"120399 - Social Skills Programs, n.e.c.",Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
12 - MIXED FIELD PROGRAMMES,1205-Employment Skills Programs,120500 - Employment Skills Programs,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
12 - MIXED FIELD PROGRAMMES,1205-Employment Skills Programs,120501 - Career Development Programs,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
12 - MIXED FIELD PROGRAMMES,1205-Employment Skills Programs,120503 - Job Search Skills Programs,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
